location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,25.755660563590215
02,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,2.525230272112886
04,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,339.41869567203975
05,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,20.569942249200295
06,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,230.62570331489545
08,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,60.3653665355929
09,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,23.445296134055873
10,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,7.324307285582064
11,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,9.783756986365688
12,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,83.75588297537833
13,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,24.87762452167064
15,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,6.727038904475258
16,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,6.028210861191044
17,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,91.22966560749829
18,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,71.09464173566353
19,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,18.2943241883704
20,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,21.940440921678814
21,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,40.1215882565747
22,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,26.19839675227833
23,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,8.073557432449508
24,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,26.582369251887346
25,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,179.2103259820634
26,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,212.66590221518953
27,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,117.88284098444376
28,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,14.255529688912665
29,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,78.58500865253292
30,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,7.5764436245650435
31,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,9.32117281705439
32,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,7.2326853284470465
33,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,7.191376756937945
34,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,1.2596168168027648
35,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,64.02951853417346
36,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,158.51954296063377
37,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,50.04046757856654
38,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,7.264095846687916
39,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,113.24790734322715
40,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,24.652671022296325
41,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,20.05631753599631
42,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,575.9984785361545
44,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,12.589409121338548
45,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,23.19935337810499
46,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,11.450994287666553
47,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,36.800946198740334
48,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,86.59837517800918
49,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.025,27.119450369245314
